iter	Passed	Remaining
0	13	13542
1	21	10614
2	26	8826
3	31	7946
4	42	8396
5	48	8039
6	55	7910
7	60	7557
8	67	7475
9	73	7282
10	78	7077
11	84	6965
12	90	6869
13	95	6743
14	100	6621
15	105	6497
16	110	6389
17	115	6289
18	120	6203
19	124	6120
20	129	6055
21	135	6003
22	139	5943
23	145	5903
24	150	5853
25	154	5805
26	159	5761
27	164	5718
28	169	5677
29	174	5645
30	178	5571
31	181	5499
32	185	5426
33	188	5362
34	193	5327
35	199	5343
36	203	5284
37	206	5216
38	209	5158
39	213	5118
40	216	5058
41	221	5049
42	224	4999
43	228	4962
44	231	4909
45	234	4858
46	237	4809
47	240	4767
48	243	4731
49	246	4689
50	249	4644
51	252	4600
52	255	4560
53	258	4527
54	261	4488
55	264	4450
56	266	4411
57	269	4374
58	272	4340
59	274	4308
60	277	4275
61	280	4244
62	283	4213
63	286	4183
64	289	4157
65	291	4129
66	294	4101
67	297	4075
68	300	4049
69	303	4025
70	305	4002
71	308	3977
72	311	3953
73	314	3930
74	316	3908
75	319	3887
76	322	3866
77	325	3845
78	328	3824
79	330	3803
80	333	3784
81	336	3764
82	339	3746
83	341	3727
84	344	3709
85	347	3692
86	350	3676
87	353	3659
88	355	3642
89	358	3625
90	361	3609
91	364	3593
92	366	3577
93	369	3563
94	372	3548
95	375	3533
96	378	3518
97	380	3504
98	383	3489
99	386	3476
100	388	3462
101	391	3448
102	395	3442
103	398	3436
104	403	3443
105	407	3437
106	410	3425
107	413	3413
108	416	3402
109	420	3400
110	423	3389
111	426	3378
112	429	3367
113	432	3363
114	435	3354
115	438	3344
116	441	3334
117	444	3323
118	447	3315
119	450	3306
120	453	3297
121	456	3287
122	460	3282
123	463	3273
124	466	3264
125	469	3254
126	472	3244
127	474	3233
128	477	3223
129	480	3215
130	484	3216
131	487	3207
132	490	3198
133	493	3188
134	496	3179
135	499	3171
136	501	3161
137	504	3152
138	507	3143
139	510	3134
140	513	3125
141	515	3117
142	518	3108
143	521	3099
144	524	3091
145	527	3085
146	530	3076
147	532	3067
148	535	3059
149	538	3051
150	541	3043
151	544	3035
152	546	3027
153	549	3019
154	552	3011
155	555	3002
156	557	2996
157	560	2987
158	563	2980
159	566	2973
160	569	2965
161	571	2958
162	574	2950
163	577	2943
164	580	2935
165	582	2928
166	585	2921
167	588	2914
168	591	2907
169	594	2900
170	596	2893
171	599	2886
172	603	2882
173	606	2880
174	610	2878
175	614	2875
176	619	2881
177	622	2875
178	626	2871
179	629	2865
180	631	2859
181	634	2852
182	637	2846
183	640	2840
184	644	2839
185	647	2834
186	650	2828
187	653	2822
188	656	2816
189	659	2810
190	663	2808
191	666	2803
192	669	2800
193	674	2800
194	677	2795
195	680	2790
196	683	2784
197	685	2778
198	689	2773
199	692	2769
200	695	2763
201	697	2757
202	700	2750
203	703	2745
204	706	2740
205	709	2733
206	712	2727
207	714	2721
208	717	2715
209	720	2710
210	723	2704
211	726	2698
212	728	2692
213	731	2686
214	734	2681
215	737	2675
216	739	2670
217	742	2664
218	745	2658
219	748	2652
220	751	2647
221	753	2642
222	756	2636
223	759	2630
224	761	2624
225	764	2619
226	767	2613
227	770	2607
228	772	2602
229	775	2596
230	778	2591
231	781	2586
232	784	2581
233	786	2576
234	789	2570
235	792	2565
236	795	2559
237	797	2554
238	800	2549
239	803	2543
240	806	2538
241	808	2533
242	813	2534
243	817	2532
244	852	2626
245	856	2624
246	867	2644
247	871	2643
248	874	2638
249	877	2633
250	880	2627
251	883	2622
252	886	2616
253	888	2610
254	891	2605
255	894	2599
256	897	2594
257	900	2588
258	902	2583
259	905	2577
260	908	2572
261	911	2567
262	914	2561
263	916	2556
264	919	2550
265	922	2545
266	925	2539
267	928	2534
268	930	2529
269	933	2524
270	936	2518
271	939	2513
272	942	2508
273	944	2503
274	947	2498
275	950	2493
276	953	2487
277	955	2482
278	959	2479
279	962	2474
280	964	2469
281	967	2464
282	970	2458
